"firm_name","n_patents","ipc_main_code","ipc_main_desc","ipc_second_code","ipc_second_desc","addr_city_main","addr_dept_main.x","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main.y"
"chanel parfums beaute",53,"A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS","B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS; ACCESSORIES, CLOSURES, OR FITTINGS THEREFOR; PACKAGING ELEMENTS; PACKAGES","Neuilly sur Seine",92,NA,NA,NA,NA,NA,NA
"chantiers de l'atlantique",6,"B63B","SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING (air-cushion vehicles B60V; arrangements of vessel ventilation","B63H","heating","Saint Nazaire",44,NA,NA,NA,NA,NA,NA
"chantriaux, eric",6,"B64C","AEROPLANES; HELICOPTERS (air-cushion vehicles B60V)","B64D","EQUIPMENT FOR FITTING IN OR TO AIRCRAFT; FLYING SUITS; PARACHUTES; ARRANGEMENTS OR MOUNTING OF POWER PLANTS OR PROPULSION TRANSMISSIONS","Aix en Provence",13,NA,NA,NA,NA,NA,NA
"chanvre & co.",2,"A45C","PURSES; LUGGAGE; HAND CARRIED BAGS (sacks or packs carried on the body A45F; containers in general B65D","B65D","e.g. portable flexible containers","Reyrevignes",46,NA,NA,NA,NA,NA,NA
"chaouat, gilles",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Ozoir la Ferriere",77,NA,NA,NA,NA,NA,NA
"chapotat, bernard",1,"B08B","CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL (brushes A46; devices for domestic or like cleaning A47L; separation of particles from liquids or gases B01D; separation of solids B03",NA,NA,"Vienne",38,NA,NA,NA,NA,NA,NA
"chapotat, eric",1,"B08B","CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL (brushes A46; devices for domestic or like cleaning A47L; separation of particles from liquids or gases B01D; separation of solids B03",NA,NA,"Lyon",69,NA,NA,NA,NA,NA,NA
"chappuis, fabrice philippe thierry",3,"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES",NA,NA,"Chanaz",73,NA,NA,NA,NA,NA,NA
"chapron, denis",1,"A44B","BUTTONS",NA,NA,"Saumur",49,NA,NA,NA,NA,NA,NA
"chapuis armes",1,"F41C","SMALLARMS",NA,NA,"Saint Bonnet le Chateau",42,NA,NA,NA,NA,NA,NA
"charabot",3,"B01D","SEPARATION (separating solids from solids by wet methods B03B","C07C","ACYCLIC OR CARBOCYCLIC COMPOUNDS (macromolecular compounds C08; production of organic compounds by electrolysis or electrophoresis C25B0003000000, C25B0007000000)","Grasse",61,NA,NA,NA,NA,NA,NA
"charal",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Cholet",49,NA,NA,NA,NA,NA,NA
"chargepoly",1,"B60L","PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K0001000000",NA,NA,"Aix en Provence",13,NA,NA,NA,NA,NA,NA
"charier",1,"B60J","WINDOWS",NA,NA,"Montoir de Bretagne",44,NA,NA,NA,NA,NA,NA
"charissoux, jean-louis",2,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO","A61L","OR PREVENTING COLLAPSING OF","Limoges",87,NA,NA,NA,NA,NA,NA
"charles, cyril",2,"H01H","ELECTRIC SWITCHES; RELAYS; SELECTORS; EMERGENCY PROTECTIVE DEVICES (contact cables H01B0007100000; electrolytic self-interrupters H01G0009180000; emergency protective circuit arrangements H02H; switching by electronic means without contact-making H03K0017000000)","H01R","ELECTRICALLY-CONDUCTIVE CONNECTIONS; STRUCTURAL ASSOCIATIONS OF A PLURALITY OF MUTUALLY-INSULATED ELECTRICAL CONNECTING ELEMENTS; COUPLING DEVICES; CURRENT COLLECTORS (switches","Cars",33,NA,NA,NA,NA,NA,NA
"charlet, claude",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Saint Didier au Mont d Or",69,NA,NA,NA,NA,NA,NA
"charlois cosmetiques",1,"A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS",NA,NA,"Murlin",58,NA,NA,NA,NA,NA,NA
"charpentier, michel",1,"B01D","SEPARATION (separating solids from solids by wet methods B03B",NA,NA,"Pont Saint Esprit",30,NA,NA,NA,NA,NA,NA
"charras, serge",1,"B65F","GATHERING OR REMOVAL OF DOMESTIC OR LIKE REFUSE (disinfecting refuse A61L; refuse disintegrators B02C; sorting refuse B03B",NA,NA,"Draveil",91,NA,NA,NA,NA,NA,NA
"charraud, gregoire",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Colombes",92,NA,NA,NA,NA,NA,NA
"charrier, muriel",1,"A45C","PURSES; LUGGAGE; HAND CARRIED BAGS (sacks or packs carried on the body A45F; containers in general B65D",NA,NA,"Tours",37,NA,NA,NA,NA,NA,NA
"charrin, philippe",1,"A01G","HORTICULTURE; CULTIVATION OF VEGETABLES",NA,NA,"Beaumont Monteux",26,NA,NA,NA,NA,NA,NA
"charroin, laurent michel marie",1,"A61H","PHYSICAL THERAPY APPARATUS",NA,NA,"Saint Sauveur en Rue",42,NA,NA,NA,NA,NA,NA
"charron, chrystelle",1,"B64C","AEROPLANES; HELICOPTERS (air-cushion vehicles B60V)",NA,NA,"Le Rove",13,NA,NA,NA,NA,NA,NA
"charvet industries",1,"G01C","MEASURING DISTANCES",NA,NA,"Miribel",17,NA,NA,NA,NA,NA,NA
"chastanet, sylvain",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Nice",62,NA,NA,NA,NA,NA,NA
"chastanier, pierre",3,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61F","e.g. G01N0033480000)","Paris",75,NA,NA,NA,NA,NA,NA
"chasteau, francois",1,"C04B","LIME; MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF",NA,NA,"Courbevoie",92,NA,NA,NA,NA,NA,NA
"chatelet, jean-christophe",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Grand",14,NA,NA,NA,NA,NA,NA
"chau, michel",2,"A63J","DEVICES FOR THEATRES","F41H","CIRCUSES","Champlan",91,NA,NA,NA,NA,NA,NA
"chaudriconcept",2,"F17C","VESSELS FOR CONTAINING OR STORING COMPRESSED","H04Q","LIQUEFIED","Brignais",69,NA,NA,NA,NA,NA,NA
"chaumeil, arnaud",3,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","B60K","e.g. G01N0033480000)","Toulouse",31,NA,NA,NA,NA,NA,NA
"chaussard, chantal",3,"B05B","SPRAYING APPARATUS; ATOMISING APPARATUS; NOZZLES (spray-mixers with nozzles B01F0005200000; processes for applying liquids or other fluent materials to surfaces by spraying B05D)",NA,NA,"Garches",92,NA,NA,NA,NA,NA,NA
"chauvin",1,"B07B","SEPARATING SOLIDS FROM SOLIDS BY SIEVING",NA,NA,"Sassenage",38,NA,NA,NA,NA,NA,NA
"chauvin arnoux",6,"A01D","HARVESTING; MOWING","A01F","THRESHING (combines A01D0041000000); BALING OF STRAW","Paris",75,NA,NA,NA,NA,NA,NA
"chaze, pierre",1,"G10H","ELECTROPHONIC MUSICAL INSTRUMENTS; INSTRUMENTS IN WHICH THE TONES ARE GENERATED BY ELECTROMECHANICAL MEANS OR ELECTRONIC GENERATORS",NA,NA,"La Garenne Colombes",92,NA,NA,NA,NA,NA,NA
"chedozeau, francis",1,"E05B","LOCKS; ACCESSORIES THEREFOR; HANDCUFFS",NA,NA,"Annemasse",74,NA,NA,NA,NA,NA,NA
"chedozeau, sandrine",1,"E05B","LOCKS; ACCESSORIES THEREFOR; HANDCUFFS",NA,NA,"Annemasse",74,NA,NA,NA,NA,NA,NA
"chemama, alain",1,"A47J","KITCHEN EQUIPMENT; COFFEE MILLS; SPICE MILLS; APPARATUS FOR MAKING BEVERAGES",NA,NA,"Le Chesnay",78,NA,NA,NA,NA,NA,NA
"chematech",2,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","C07D","HETEROCYCLIC COMPOUNDS (macromolecular compounds C08)","Dijon",21,NA,NA,NA,NA,NA,NA
"chemo s.a. france",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Sevres",92,NA,NA,NA,NA,NA,NA
"chen, li jing",2,"B64C","AEROPLANES; HELICOPTERS (air-cushion vehicles B60V)",NA,NA,"Bougival",78,NA,NA,NA,NA,NA,NA
"chene, richard",3,"B60K","ARRANGEMENT OR MOUNTING OF PROPULSION UNITS OR OF TRANSMISSIONS IN VEHICLES; ARRANGEMENT OR MOUNTING OF PLURAL DIVERSE PRIME-MOVERS; AUXILIARY DRIVES; INSTRUMENTATION OR DASHBOARDS FOR VEHICLES; ARRANGEMENTS IN CONNECTION WITH COOLING","F16M","FRAMES, CASINGS, OR BEDS, OF ENGINES OR OTHER MACHINES OR APPARATUS, NOT SPECIFIC TO AN ENGINE, MACHINE, OR APPARATUS PROVIDED FOR ELSEWHERE; STANDS OR SUPPORTS","Neuilly",92,NA,NA,NA,NA,NA,NA
"chereau, bruno",1,"A01G","HORTICULTURE; CULTIVATION OF VEGETABLES",NA,NA,"Germaines",52,NA,NA,NA,NA,NA,NA
"cherif-cheikh, margaux",1,"A43B","CHARACTERISTIC FEATURES OF FOOTWEAR; PARTS OF FOOTWEAR",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"chevalier, francois",1,"A01G","HORTICULTURE; CULTIVATION OF VEGETABLES",NA,NA,"Meroux",90,NA,NA,NA,NA,NA,NA
"chevalier, pierre",1,"B65D","CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS",NA,NA,"Lechatelet",21,NA,NA,NA,NA,NA,NA
"chevillard, laurent",1,"E06B","FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS",NA,NA,"Monce en Belin",72,NA,NA,NA,NA,NA,NA
"chevillard, sylvie",2,"B01L","CHEMICAL OR PHYSICAL LABORATORY APPARATUS FOR GENERAL USE (apparatus for medical or pharmaceutical purposes A61; apparatus for industrial purposes or laboratory apparatus whose construction and performance are comparable to that of similar industrial apparatus","B03C","see the relevant classes for industrial apparatus","Paris",75,NA,NA,NA,NA,NA,NA
"chevron oronite",5,"C07C","ACYCLIC OR CARBOCYCLIC COMPOUNDS (macromolecular compounds C08; production of organic compounds by electrolysis or electrophoresis C25B0003000000",NA,NA,"Levallois Perret",92,NA,NA,NA,NA,NA,NA
"cheynet & fils",1,"A41F","GARMENT FASTENINGS; SUSPENDERS",NA,NA,"Saint Just Malmont",43,NA,NA,NA,NA,NA,NA
"cheynet, jean-pierre",3,"D03D","WOVEN FABRICS; METHODS OF WEAVING; LOOMS","A44B","BUTTONS, PINS, BUCKLES, SLIDE FASTENERS, OR THE LIKE (fastenings specially adapted for footwear A43C)","Saint Maurice en Gourgois",42,NA,NA,NA,NA,NA,NA
"chezaud, sylvie",1,"A47K","SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR (connecting to water supply or waste pipe",NA,NA,"Le Puy en Velay",43,NA,NA,NA,NA,NA,NA
"chican, pierre",1,"A63J","DEVICES FOR THEATRES",NA,NA,"L Isle Adam",95,NA,NA,NA,NA,NA,NA
"childs, marc",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"ching, gil",10,"B01J","CHEMICAL OR PHYSICAL PROCESSES",NA,NA,"Le Bar sur Loup",66,NA,NA,NA,NA,NA,NA
"chiral technologies europe",4,"B01D","SEPARATION (separating solids from solids by wet methods B03B","B01J","B03D","Illkirch",67,NA,NA,NA,NA,NA,NA
"chiron, marc",1,"B01D","SEPARATION (separating solids from solids by wet methods B03B",NA,NA,"Beauvoir sur Mer",85,NA,NA,NA,NA,NA,NA
"chirtu, stefan",1,"B04C","APPARATUS USING FREE VORTEX FLOW",NA,NA,"Andrezieux Boutheon",42,NA,NA,NA,NA,NA,NA
"chivel, yuri aleksandrovich",1,"B23K","SOLDERING OR UNSOLDERING; WELDING; CLADDING OR PLATING BY SOLDERING OR WELDING; CUTTING BY APPLYING HEAT LOCALLY",NA,NA,"Saint etienne",42,NA,NA,NA,NA,NA,NA
"cho power",1,"F23G","CREMATION FURNACES; CONSUMING WASTE OR LOW GRADE FUELS BY COMBUSTION",NA,NA,"Morcenx",40,NA,NA,NA,NA,NA,NA
"chodz'ko, denys",1,"A61F","FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO",NA,NA,"Brignoles",83,NA,NA,NA,NA,NA,NA
"chomarat textiles industries",6,"D04B","KNITTING",NA,NA,"Le Cheylard",71,NA,NA,NA,NA,NA,NA
"chopin technologies",4,"B01F","MIXING","B04B","e.g. DISSOLVING","Villeneuve la Garenne",92,NA,NA,NA,NA,NA,NA
"chopin, daniel",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Mercurey",71,NA,NA,NA,NA,NA,NA
"chorin, christian",3,"E05B","LOCKS; ACCESSORIES THEREFOR; HANDCUFFS","E05C","BOLTS OR FASTENING DEVICES FOR WINGS","Melun",77,NA,NA,NA,NA,NA,NA
"chouette",1,"B64C","AEROPLANES; HELICOPTERS (air-cushion vehicles B60V)",NA,NA,"Saint Soupplets",77,NA,NA,NA,NA,NA,NA
"choux, christian",5,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Savigneux",42,NA,NA,NA,NA,NA,NA
"chretien, pa",4,"B60L","PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K0001000000","B64C","B60K0006200000; arrangements or mounting of electrical gearing in vehicles B60K0017120000","Marseille",13,NA,NA,NA,NA,NA,NA
"chrome plated power",1,"H01M","PROCESSES OR MEANS",NA,NA,"Grenoble",38,NA,NA,NA,NA,NA,NA
"chronocam",1,"H04N","PICTORIAL COMMUNICATION",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"chronolife",1,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N",NA,NA,"Paris",75,NA,NA,NA,NA,NA,NA
"chru de lille",2,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61P","e.g. G01N0033480000)",NA,59,NA,NA,NA,NA,NA,NA
"chrysalis",5,"F21S","NON-PORTABLE LIGHTING DEVICES OR SYSTEMS THEREOF (burners F23D; electric aspects or elements",NA,NA,"Custines",54,NA,NA,NA,NA,NA,NA
"chrysalis pharma",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Montceau les Mines",71,NA,NA,NA,NA,NA,NA
"chryso",39,"C04B","LIME; MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF","C08F","MACROMOLECULAR COMPOUNDS OBTAINED BY REACTIONS ONLY INVOLVING CARBON-TO-CARBON UNSATURATED BONDS (production of liquid hydrocarbon mixtures from lower carbon number hydrocarbons, e.g. by oligomerisation, C10G0050000000; fermentation or enzyme-using processes to synthesise a desired chemical compound or composition or to separate optical isomers from a racemic mixture C12P; graft polymerisation of monomers containing carbon-to-carbon unsaturated bonds on to fibres, threads, yarns, fabrics or fibrous goods made from such materials D06M0014000000)","Issy les Moulineaux",92,NA,NA,NA,NA,NA,NA
"chu",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Dijon",21,NA,NA,NA,NA,NA,NA
"chu clermont-ferrand",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Clermont Ferrand",63,NA,NA,NA,NA,NA,NA
"chu de bordeaux",2,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Talence",33,NA,NA,NA,NA,NA,NA
"chu de brest",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Brest",29,NA,NA,NA,NA,NA,NA
"chu de dijon",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Dijon",21,NA,NA,NA,NA,NA,NA
"chu de limoges",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Limoges",87,NA,NA,NA,NA,NA,NA
"chu de nantes - centre hospitalier universitaire de nantes",1,"A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS",NA,NA,"Nantes",44,NA,NA,NA,NA,NA,NA
"chu de nice",8,"A61B","DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N","A61P","SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS","Nice",60,NA,NA,NA,NA,NA,NA
