"entreprise","firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"Artelys","Artelys",7,NA,3,"Deep Learning",NA,NA
"Artemys Agil-IT (groupe Artemys)","Artemys Agil-IT (groupe Artemys)",1,NA,NA,"Excel, Intelligence artificielle, Programmation, Python, SQL, équipe",30,79
"Assurances Crédit Mutuel  GIE","Assurances Crédit Mutuel  GIE",1,"Banque, Assurance, Finance",NA,"Autonome, Autonôme, Collaboration, Communication, Compétences en Présentation, Excel, Git, Programmation, Python, SQL, Statistique, modélisation, équipe",50,67
"Assurant","Assurant",1,"Banque, Assurance, Finance",0,"Communication, Optimisation, Rapport, Reporting, équipe",NA,13
"Astek","Astek",33,"Secteur informatique, ESN",4.33333333333333,"Git, équipe",NA,75
"Atos","Atos",6,"Secteur informatique, ESN",0.75,"équipe",NA,33
"Aubay","Aubay",3,"Secteur informatique, ESN",1,"équipe",NA,75
"Auchan Retail France","Auchan Retail France",1,NA,NA,"Dataviz, Git, Google Cloud, Reporting, SQL, Tableau, équipe",NA,59
"Audensiel Technologies","Audensiel Technologies",3,"Secteur informatique, ESN",7,"équipe",NA,33
"Avanade","Avanade",1,NA,NA,"Deep Learning",NA,75
"Avient","Avient",1,NA,NA,"AWS, Collaboration, Communication, Communication Skills, Creativity, Excel, Time Management",NA,1
"Axereal","Axereal",1,"Industrie Agro-alimentaire",NA,"Attention to Detail, Collaboration, Communication, Communication Skills, Database, English, French, Git",NA,45
"Ayming","Ayming",1,NA,NA,"Créativité, Excel, Git, Optimisation, Power BI, VBA",NA,92
"Azura Group / Disma Interational","Azura Group / Disma Interational",2,"Distribution, Commerce de gros",7,"Bases de donnée, Intelligence artificielle, Reporting, Tableau",NA,66
"BAXTER","BAXTER",1,NA,NA,"Anglais, Communication, Excel, Power BI, Programmation, Python, Rapport, SQL, Statistique, Tableau, Visualisation de donnée, équipe",NA,78
"BD","BD",1,NA,NA,"Anglais, Base de donnée, Excel, Français, Power BI, Prévision, Rapport, Reporting, Rigueur, Tableau, équipe",NA,38
"BEEZEN","BEEZEN",2,NA,NA,"SQL",400,92
"BNP Paribas","BNP Paribas",8,"Banque, Assurance, Finance",0,"équipe",NA,93
"BPCE SA","BPCE SA",8,"Banque, Assurance, Finance",7,"équipe",NA,75
"BPCE Solutions informatiques","BPCE Solutions informatiques",5,"Banque, Assurance, Finance",NA,"SQL, équipe",NA,44
"BPGrandOuest","BPGrandOuest",1,NA,NA,"Bases de donnée, Curiosité, Power BI, Rigueur, SQL, Statistique, équipe",NA,44
"BRGM","BRGM",5,"Service public des collectivités territoriales",0,"Python, Rapport, modélisation",NA,45
"BSPORT SOLUTION","BSPORT SOLUTION",7,NA,NA,"AWS, Database, Optimisation, Proactive, Python, SQL",NA,NA
"BUSINESS INSIGHT","BUSINESS INSIGHT",1,NA,NA,"Anglais, English, Français, French, Power BI, Programmation, Tableau, équipe",NA,NA
"BUT","BUT",2,"Distribution, Commerce de gros",NA,"Autonome, Autonôme, Bases de donnée, Excel, Git, Power BI, Python, Reporting, SQL, Statistique, Tableau, collecte de données, équipe",NA,77
"Back Market","Back Market",4,"Média, Internet, Communication",0,"English, French, Python",NA,75
"Balenciaga","Balenciaga",1,NA,NA,"Curious, Data Visualization, English, Excel, Reporting, Tableau, Team Player, VBA",NA,75
"Banque Populaire Méditerranée","Banque Populaire Méditerranée",1,NA,NA,"Power BI, Programmation, Reporting, Rigueur, SQL, Statistique, Tableau, modélisation, équipe",NA,13
"Banque Populaire Rives de Paris","Banque Populaire Rives de Paris",1,NA,NA,"Bases de donnée, Français, Power BI, Programmation, Python, Rapport, Reporting, Rigueur, SQL, Statistique, Tableau, équipe",NA,75
"Banque de France","Banque de France",3,NA,NA,"Statistique, équipe",NA,75
"Bartle","Bartle",1,"Services aux Entreprises",NA,"Statistique, modélisation, équipe",NA,75
"Bayer","Bayer",1,NA,NA,"Anglais, Bases de donnée, Collaboration, Communication, Curiosité, Excel, Programmation, Python, SQL, équipe",NA,69
"BearingPoint France","BearingPoint France",3,"Services aux Entreprises",NA,"Reporting, équipe",NA,92
"Believe","Believe",2,"Média, Internet, Communication",7,"AWS, Anglais, Excel, Français, Git, Python, SQL, Statistique, équipe",NA,75
"Bertrandt","Bertrandt",4,"Services aux Entreprises, Industrie Aéronautique, Aérospatial",7,"équipe",NA,31
"Betclic Group","Betclic Group",4,NA,NA,"Communication, SQL",NA,33
"BforBank","BforBank",1,NA,NA,"Autonome, Autonôme, Base de donnée, Collaboration, Excel, Git, Proactif, Reporting, Résolution de Problèmes, SQL, équipe",NA,92
"Blue-Consulting","Blue-Consulting",2,NA,NA,"Deep Learning, Python",400,75
"Bolloré Group","Bolloré Group",1,NA,NA,"Base de donnée, Excel, Power BI, Reporting, Tableau",NA,92
"Boston Consulting Group","Boston Consulting Group",2,NA,NA,"Collaboration, Curious, Git, Project Management, Python, Spark, Statistics",NA,75
"Botify","Botify",2,"Services aux Entreprises",NA,"Collaboration, Communication, Communication Skills, English, Excel, Forecasting, French, Git, Natural Language Processing, Optimization, Python, SQL, Statistics, Team Player",NA,75
"Boulanger","Boulanger",1,"Distribution, Commerce de gros",7,"Reporting, équipe",45,59
"Boursorama","Boursorama",2,NA,NA,"Python, Reporting, Statistique, équipe",NA,92
"Bouygues Construction IT","Bouygues Construction IT",2,"BTP",NA,"Optimisation, Power BI, Python, équipe",NA,78
"Bouygues Telecom","Bouygues Telecom",5,"Industrie high-tech, Telecom",1,"équipe",NA,92
"Bouygues Travaux Publics","Bouygues Travaux Publics",1,"BTP",0,"Reporting, équipe",NA,26
"Brainpower","Brainpower",1,"Secteur informatique, ESN",NA,"Autonome, Autonôme, Git, Optimisation, équipe",NA,38
"Brittany Ferries","Brittany Ferries",1,"Tourisme, Hôtellerie, Loisirs",1,"Prévision, équipe",NA,29
"Bureau Veritas","Bureau Veritas",3,"Secteur informatique, ESN",0,"Communication",NA,69
"Business & Decision","Business & Decision",4,NA,NA,"Git, équipe",NA,75
"Business & Décision","Business & Décision",17,"Secteur informatique, ESN",7,"équipe",NA,31
"CAFPI","CAFPI",1,"Banque, Assurance, Finance",0,"Git, Intelligence artificielle, Reporting, équipe",NA,64
"CCPA GROUP","CCPA GROUP",1,NA,NA,"Créativité, Curiosité, Git, Power BI, Python, Rigueur, Résolution de Problèmes, SQL, collecte de données, modélisation, équipe",NA,NA
"CEA","CEA",1,NA,NA,"Deep Learning",NA,91
"CEB","CEB",1,NA,NA,"Adaptabilité, Anglais, Base de donnée, Bases de donnée, Collaboration, Communication, Excel, Français, Power BI, Python, Rapport, Reporting, Résolution de Problèmes, SQL, Statistique, Tableau, Visualisation de donnée, collecte de données, modélisation, équipe",5,75
"CENOVA","CENOVA",2,NA,NA,"Anglais, Azure, Curiosité, Git, Python, Rapport, équipe",NA,59
"CEREG TERRITOIRES","CEREG TERRITOIRES",1,NA,NA,"Base de donnée, Git, Programmation, Python, SQL, Tableau, équipe",28,44
"CGI","CGI",67,"Secteur informatique, ESN",1.6,"Excel",NA,31
"CGI FINANCE","CGI FINANCE",1,NA,NA,"Azure, Collaboration, Français, Git, Proactif, Tableau, équipe",NA,59
"CHAPS VISION","CHAPS VISION",2,NA,NA,"Anglais, Communication, Excel, Français, Git, Python, équipe",NA,75
"CHARLI GROUP","CHARLI GROUP",1,NA,NA,"AWS, Anglais, Autonome, Autonôme, Collaboration, Git, Programmation, Programming, Python, Spark, équipe",NA,92
"CHD Vendée - DRH","CHD Vendée - DRH",1,NA,NA,"Deep Learning",NA,85
"CHR Numérique","CHR Numérique",1,"Secteur informatique, ESN",1,"équipe",NA,29
"CHRONOPOST","CHRONOPOST",1,NA,NA,"Collaboration, Excel, Programmation, Prévision, Python, Reporting, Tableau",NA,75
"CHRU de Brest","CHRU de Brest",1,NA,NA,"Deep Learning",NA,29
"CIRIL GROUP","CIRIL GROUP",3,"Secteur informatique, ESN",1,"Bases de donnée, Statistique, équipe",NA,13
"CLAMAE GROUP","CLAMAE GROUP",1,NA,NA,"Base de donnée, Excel, Français, Python, SQL, Statistique, Tableau, modélisation, équipe",NA,75
"CLS","CLS",1,NA,NA,"Deep Learning",NA,31
"CLS – Collecte Localisation Satellites","CLS – Collecte Localisation Satellites",1,"Industrie high-tech, Telecom",0,"Deep Learning",NA,31
"CNAV","CNAV",1,NA,NA,"Bases de donnée, Excel, SQL, VBA",36,75
"CNES - Centre National d'Etudes Spatiales","CNES - Centre National d'Etudes Spatiales",2,NA,NA,"Collaboration, Database, Programming, modélisation",NA,91
"CNP Assurances","CNP Assurances",6,"Banque, Assurance, Finance",0.666666666666667,"Deep Learning",NA,92
"CNRS","CNRS",2,NA,NA,"Anglais, Communication, Contrôle de version, Gestion de Projets, Git, Programmation, Python, Statistique, modélisation, équipe",2,38
"COFIDIS","COFIDIS",2,NA,NA,"Autonome, Autonôme, Optimisation, Programmation, Rigueur, Statistique, Tableau, équipe",35,59
"COLLINS AEROSPACE","COLLINS AEROSPACE",1,NA,NA,"Anglais, Collaboration, Curiosité, Excel, Prévision, Reporting, Rigueur, Tableau, équipe",NA,27
"CPAM de la Marne","CPAM de la Marne",1,NA,NA,"Bases de donnée, Excel, Power BI, Programmation, Rigueur, SQL, Statistique, Tableau, VBA, équipe",28,51
"CS Group","CS Group",9,"Secteur informatique, ESN",5.44444444444444,"",NA,64
"Caisse d'Epargne Aquitaine Poitou Charentes","Caisse d'Epargne Aquitaine Poitou Charentes",1,NA,NA,"Base de donnée, Collaboration, Communication, Intelligence artificielle, Power BI, SQL, Tableau, équipe",NA,33
"Caisse d'Epargne Grand Est Europe","Caisse d'Epargne Grand Est Europe",1,NA,NA,"Curiosité, Français, Power BI, Python, Rigueur, SQL, modélisation, équipe",NA,57
"Caisse d'Epargne Rhône Alpes","Caisse d'Epargne Rhône Alpes",2,NA,NA,"Bases de donnée, Excel, Power BI, Rigueur, SQL",NA,38
"Caisse des Dépôts","Caisse des Dépôts",3,NA,NA,"équipe",NA,75
"Caisse des Dépôts et Consignations","Caisse des Dépôts et Consignations",1,NA,NA,"Anglais, Excel, Power BI, Programmation, Prévision, Python, Rapport, Reporting, SQL, Tableau, VBA, modélisation, équipe",NA,75
"Canal Plus","Canal Plus",1,"Média, Internet, Communication",7,"AWS, Anglais, Collaboration, Git, Python, Spark, équipe",NA,92
"Capgemini","Capgemini",16,"Secteur informatique, ESN",1.33333333333333,"équipe",NA,44
"Capgemini Invent","Capgemini Invent",47,NA,NA,"Anglais, Collaboration, Curiosité, Excel, Git, équipe",NA,75
