"firm_name","n_offres","sector_main","avg_req_exp","top_skill_req","avg_wage","addr_dept_main"
"april",2,"Banque, Assurance, Finance",NA,"Deep Learning",NA,69
"apside",12,"Secteur informatique, ESN",5,"Anglais, équipe",58000,6
"aptargroup, inc.",1,NA,NA,"Autonome, Autonôme, Bases de donnée, Collaboration, Communication, Excel, Python, Rapport, Résolution de Problèmes, SQL, Statistique, Tableau, TensorFlow, équipe",NA,27
"aquila data enabler",3,NA,NA,"Deep Learning",NA,92
"arcom",1,NA,NA,"Anglais, Collaboration, Communication, Programmation, Python, Rigueur, Statistique, équipe",NA,75
"argon & co",1,NA,NA,"Deep Learning",21600,92
"arkema",1,NA,NA,"Excel, Français, Power BI, Rapport, Tableau, Visualisation de donnée, équipe",NA,92
"arkeon energy",1,NA,NA,"Communication, Excel, French, Optimisation, Optimization, Programmation, Python, Rapport, Résolution de Problèmes, Statistique, TensorFlow, modélisation, équipe",NA,14
"armor meca developpement",1,NA,NA,"Excel, Programmation, Prévision, Rapport, Reporting, Rigueur, Statistique, Tableau, équipe",40000,22
"artefact",7,"Secteur informatique, ESN",0.333333333333333,"Excel, Git",NA,75
"artelia",1,NA,NA,"Anglais, Bases de donnée, Communication, Curiosité, Git, Programmation, Python, Rapport, Rigueur, Statistique, VBA, modélisation, équipe",NA,38
"artelys",7,NA,3,"Deep Learning",NA,NA
"artemys agil-it (groupe artemys)",1,NA,NA,"Excel, Intelligence artificielle, Programmation, Python, SQL, équipe",35000,79
"asi",4,"Secteur informatique, ESN",7,"Git, SQL, équipe",NA,69
"assurances credit mutuel gie",1,"Banque, Assurance, Finance",NA,"Autonome, Autonôme, Collaboration, Communication, Compétences en Présentation, Excel, Git, Programmation, Python, SQL, Statistique, modélisation, équipe",75000,67
"assurant",1,"Banque, Assurance, Finance",0,"Communication, Optimisation, Rapport, Reporting, équipe",NA,13
"astek",33,"Secteur informatique, ESN",4.33333333333333,"Git, équipe",NA,75
"atos",6,"Secteur informatique, ESN",0.75,"équipe",NA,33
"aubay",3,"Secteur informatique, ESN",1,"équipe",NA,75
"auchan",2,NA,NA,"Git, Reporting, SQL, équipe",NA,59
"audensiel technologies",3,"Secteur informatique, ESN",7,"équipe",NA,33
"autobiz",1,NA,NA,"Anglais, Base de donnée, Intelligence artificielle, Programmation, Python, SQL, Statistique, modélisation, équipe",NA,92
"automotive cells company - acc",5,"Industrie Manufacturière",3,"Database",NA,33
"avanade",1,NA,NA,"Deep Learning",NA,75
"avient",1,NA,NA,"AWS, Collaboration, Communication, Communication Skills, Creativity, Excel, Time Management",NA,1
"avisia",2,NA,NA,"AWS, Azure, Excel, Python, SQL, équipe",NA,75
"axa",22,"Banque, Assurance, Finance",2,"équipe",21552,92
"axeal",2,"Services aux Entreprises",0,"SQL, équipe",45000,69
"axereal",1,"Industrie Agro-alimentaire",NA,"Attention to Detail, Collaboration, Communication, Communication Skills, Database, English, French, Git",NA,45
"axsant",1,NA,NA,"Anglais, Excel, Optimisation, Power BI, Programmation, Prévision, Reporting, SQL, Tableau, équipe",60000,75
"ayming",1,NA,NA,"Créativité, Excel, Git, Optimisation, Power BI, VBA",NA,92
"azap",2,NA,NA,"Anglais, Français, Programmation, Prévision, Statistique, équipe",NA,75
"azura group / disma interational",2,"Distribution, Commerce de gros",7,"Bases de donnée, Intelligence artificielle, Reporting, Tableau",NA,66
"back market",4,"Média, Internet, Communication",0,"English, French, Python",NA,75
"balenciaga",1,NA,NA,"Curious, Data Visualization, English, Excel, Reporting, Tableau, Team Player, VBA",NA,75
"banque de france",3,NA,NA,"Statistique, équipe",NA,75
"banque populaire",1,NA,NA,"Bases de donnée, Français, Power BI, Programmation, Python, Rapport, Reporting, Rigueur, SQL, Statistique, Tableau, équipe",NA,75
"banque populaire mediterranee",1,NA,NA,"Power BI, Programmation, Reporting, Rigueur, SQL, Statistique, Tableau, modélisation, équipe",NA,13
"bartle",1,"Services aux Entreprises",NA,"Statistique, modélisation, équipe",NA,75
"baxter",1,NA,NA,"Anglais, Communication, Excel, Power BI, Programmation, Python, Rapport, SQL, Statistique, Tableau, Visualisation de donnée, équipe",NA,78
"bayer",1,NA,NA,"Anglais, Bases de donnée, Collaboration, Communication, Curiosité, Excel, Programmation, Python, SQL, équipe",NA,69
"bd",1,NA,NA,"Anglais, Base de donnée, Excel, Français, Power BI, Prévision, Rapport, Reporting, Rigueur, Tableau, équipe",NA,38
"bearingpoint france",3,"Services aux Entreprises",NA,"Reporting, équipe",NA,92
"believe",2,"Média, Internet, Communication",7,"AWS, Anglais, Excel, Français, Git, Python, SQL, Statistique, équipe",NA,75
"bertrandt",4,"Services aux Entreprises, Industrie Aéronautique, Aérospatial",7,"équipe",NA,31
"betclic group",4,NA,NA,"Communication, SQL",NA,33
"bforbank",1,NA,NA,"Autonome, Autonôme, Base de donnée, Collaboration, Excel, Git, Proactif, Reporting, Résolution de Problèmes, SQL, équipe",NA,92
"bnp paribas",8,"Banque, Assurance, Finance",0,"équipe",NA,93
"bollore group",1,NA,NA,"Base de donnée, Excel, Power BI, Reporting, Tableau",NA,92
"boston consulting group",2,NA,NA,"Collaboration, Curious, Git, Project Management, Python, Spark, Statistics",NA,75
